word,pinyin,meaning
爱情,àiqíng,愛
安排,ānpái,あんばいする、段取りをする
安全,ānquán,安全
暗,àn,暗い
按时,ànshí,時間通りに
按照,ànzhào,〜によると
包括,bāokuò,含む
保护,bǎohù,保護
保证,bǎozhèng,保証
抱,bào,抱える
抱歉,bàoqiàn,すみません
报道,bàodào,報道する
报名,bàomíng,登録する
倍,bèi,倍
本来,běnlái,本来、元々
笨,bèn,愚か、バカ
笔记本,bǐjìběn,ノート
毕业,bìyè,卒業
遍,biàn,あまねく、くまなく
标准,biāozhǔn,標準
表达,biǎodá,表わす、示す
表格,biǎogé,表、フォーム
表扬,biǎoyáng,表彰する
饼干,bǐnggān,ビスケット、クッキー
并且,bìngqiě,その他に
博士,bóshì,博士
不但,búdàn,だけでなく、
不过,búguò,但し
不得不,bùdébù,しなければなりません
不管,bùguǎn,にもかかわらず
不仅,bùjǐn,だけでなく
部分,bùfèn,部分
擦,cā,拭く
猜,cāi,推測
材料,cáiliào,材料
参观,cānguān,参観
差不多,chàbùduō,殆ど
尝,cháng,味見する
长城,chángchéng,万里の長城
长江,chángjiāng,揚子江
场,chǎng,場所
超过,chāoguò,上回り、超える
吵,chǎo,騒々しい、うるさい
成功,chénggōng,成功
成熟,chéngshú,成熟
成为,chéngwéi,になる
诚实,chéngshí,誠実、正直
乘坐,chéngzuò,乗る
吃惊,chījīng,驚く
重新,chóngxīn,重ねて、もう一度
抽烟,chōuyān,喫煙
出差,chūchāi,出張
出发,chūfā,出発
出生,chūshēng,生れる
传真,chuánzhēn,ファックス
窗户,chuānghù,窓
词典,cídiǎn,辞書
从来,cónglái,これまでずっと
粗心,cūxīn,注意深くない、そそっかしい
答案,dá'àn,答え
打扮,dǎbàn,身支度する、着飾る
打扰,dǎrǎo,邪魔する、迷惑をかける
打印,dǎyìn,印刷する
打折,dǎzhé,割引する
打针,dǎzhēn,注射をする
大概,dàgài,大体の、おおよその
大使馆,dàshǐguǎn,大使館
大约,dàyuē,大体、およそ
戴,dài,着る
代表,dàibiǎo,代表
代替,dàitì,代える、代わりをする
大夫,dàfū,医師
当,dāng,適合する
当地,dāngdì,地元
当时,dāngshí,地方
刀,dāo,ナイフ
导游,dǎoyóu,ツアーガイド
到处,dàochù,至るところ、どこでも
到底,dàodǐ,とうとう、ついに
道歉,dàoqiàn,わびる、おわびを言う
得意,déyì,得意になる、したり顔をする
得,dé,得る
等,děng,待つ
底,dǐ,底
地球,dìqiú,地球
地址,dìzhǐ,住所
掉,diào,落とす
调查,diàochá,調査
丢,diū,投げる
动作,dòngzuò,動作、アクション
堵车,dǔchē,交通渋滞
肚子,dùzi,腹
断,duàn,断つ
对,duì,正しい
对话,duìhuà,対話
对面,duìmiàn,逆の
顿,dùn,止まる
朵,duǒ,(花の数を数える)量詞
而,ér,〜と
儿童,értóng,子供
发,fā,送る
发生,fāshēng,発生する
发展,fāzhǎn,発展
法律,fǎlǜ,法律
翻译,fānyì,翻訳
烦恼,fánnǎo,思い悩む、思い煩う
反对,fǎnduì,反対
反应,fǎnyìng,反応
范围,fànwéi,範囲
方法,fāngfǎ,方法
方面,fāngmiàn,方面、領域
方向,fāngxiàng,方向
访问,fǎngwèn,訪れる
放弃,fàngqì,諦める
放暑假,fàngshǔjià,夏休み
〜分之〜,〜fēnzhī〜,〜分の〜 （分数を表す）
份,fèn,〜人分の、〜人前の
丰富,fēngfù,豊富
风景,fēngjǐng,風景
否则,fǒuzé,その他
符合,fúhé,ぴったり合う、合致する
富,fù,豊か
父亲,fùqīn,お父さん
复印,fùyìn,コピー
复杂,fùzá,複雑、コンプレックス
负责,fùzé,責任を負う
