word,pinyin,meaning
爱,ài,愛する
八,bā,八
爸爸,bàba,お父さん
杯子,bēizi,コップ
北京,Běijīng,北京
本,běn,～冊（書籍を数える）
不,bù,～ない
菜,cài,料理、野菜
茶,chá,お茶
吃,chī,食べる
出租车,chūzūchē,タクシー
打电话,dǎ diànhuà,電話をかける
大,dà,大きい
的,de,～の（所有・修飾）
点,diǎn,～時
电脑,diànnǎo,パソコン
电视,diànshì,テレビ
电影,diànyǐng,映画
东西,dōngxi,物、物品
都,dōu,すべて
读,dú,読む
对不起,duìbuqǐ,ごめんなさい
多,duō,多い
多少,duōshao,いくつ、どのくらい
儿子,érzi,息子
二,èr,二
饭店,fàndiàn,レストラン、ホテル
飞机,fēijī,飛行機
分钟,fēnzhōng,分（時間）
高兴,gāoxìng,うれしい
个,gè,個（一般的な量詞）
工作,gōngzuò,仕事、働く
狗,gǒu,犬
汉语,Hànyǔ,中国語
好,hǎo,良い
号,hào,～日、番号
喝,hē,飲む
和,hé,～と
很,hěn,とても
后面,hòumian,後ろ
回,huí,帰る、戻る
会,huì,～できる
几,jǐ,いくつ
家,jiā,家、家庭
叫,jiào,～という名前だ
今天,jīntiān,今日
九,jiǔ,九
开,kāi,開ける、運転する
看,kàn,見る
看见,kànjiàn,見える
块,kuài,元（お金）
来,lái,来る
老师,lǎoshī,先生
了,le,～した（完了）
冷,lěng,寒い
里,lǐ,～の中
六,liù,六
妈妈,māma,お母さん
吗,ma,～か？（疑問）
买,mǎi,買う
猫,māo,猫
没,méi,～ない（有の否定）
没关系,méiguānxi,大丈夫です
米饭,mǐfàn,ご飯
名字,míngzi,名前
明天,míngtiān,明日
哪,nǎ,どれ、どの
哪儿,nǎr,どこ
那,nà,あれ、それ
呢,ne,～は？（反問）
能,néng,～できる
你,nǐ,あなた
年,nián,年
女儿,nǚ'ér,娘
朋友,péngyou,友達
漂亮,piàoliang,きれい
苹果,píngguǒ,りんご
七,qī,七
前面,qiánmian,前
钱,qián,お金
请,qǐng,どうぞ、～してください
去,qù,行く
热,rè,暑い、熱い
人,rén,人
认识,rènshi,知っている、知り合う
三,sān,三
商店,shāngdiàn,店
上,shàng,上、登る
上午,shàngwǔ,午前
少,shǎo,少ない
谁,shéi,誰
什么,shénme,何
十,shí,十
时候,shíhou,時、時間
是,shì,～である
书,shū,本
水,shuǐ,水
水果,shuǐguǒ,果物
睡觉,shuìjiào,寝る
说,shuō,話す
四,sì,四
岁,suì,～歳
他,tā,彼
她,tā,彼女
太,tài,とても（～すぎる）
天气,tiānqì,天気
听,tīng,聞く
同学,tóngxué,クラスメート
喂,wèi,もしもし
我,wǒ,私
我们,wǒmen,私たち
五,wǔ,五
喜欢,xǐhuan,好き
下,xià,下、降りる
下午,xiàwǔ,午後
下雨,xià yǔ,雨が降る
先⽣,xiānsheng,～さん（男性）
现在,xiànzài,今
想,xiǎng,～したい、思う
小,xiǎo,小さい
小姐,xiǎojiě,お嬢さん
些,xiē,いくつか
写,xiě,書く
谢谢,xièxie,ありがとう
星期,xīngqī,～曜日
学生,xuésheng,学生
学习,xuéxí,学ぶ
学校,xuéxiào,学校
一,yī,一
衣服,yīfu,服
医生,yīshēng,医者
医院,yīyuàn,病院
椅子,yǐzi,椅子
有,yǒu,ある、いる
月,yuè,月
在,zài,～にある、いる
再见,zàijiàn,さようなら
怎么,zěnme,どうやって
怎么样,zěnmeyàng,どうですか
这,zhè,これ、こちら
中国,Zhōngguó,中国
中午,zhōngwǔ,正午
住,zhù,住む
桌子,zhuōzi,机
字,zì,字
昨天,zuótiān,昨日
坐,zuò,座る
做,zuò,する、作る
