word,pinyin,meaning
阿姨,āyí,おばさん
吧,ba,〜でしょう、〜ね（語尾に付く）
白,bái,白い
百,bǎi,百
帮助,bāngzhù,手伝う
报纸,bàozhǐ,新聞
比,bǐ,〜より（比較）
别,bié,〜しないで
宾馆,bīnguǎn,ホテル
长,cháng,長い
唱歌,chànggē,歌を歌う
出,chū,出る、出す
穿,chuān,着る、履く
次,cì,回、度
从,cóng,〜から（起点）
错,cuò,間違い
打篮球,dǎ lánqiú,バスケットボールをする
大家,dàjiā,みんな
到,dào,到着する、〜まで
得,de,〜（する）のが〜だ
等,děng,待つ
第一,dì yī,第一、最初
懂,dǒng,理解する
对,duì,〜に対して、正しい
房间,fángjiān,部屋
非常,fēicháng,非常に、とても
服务员,fúwùyuán,店員
告诉,gàosu,知らせる
哥哥,gēge,兄
给,gěi,〜に与える、〜に
公共汽车,gōnggòng qìchē,バス
公司,gōngsī,会社
贵,guì,高い（値段が）
过,guò,〜したことがある（経験）
还,hái,まだ、さらに
孩子,háizi,子ども
好吃,hǎochī,美味しい
黑,hēi,黒い
红,hóng,赤い
欢迎,huānyíng,歓迎する
回答,huídá,答える
机场,jīchǎng,空港
鸡蛋,jīdàn,卵
件,jiàn,〜着（衣類などを数える）
教室,jiàoshì,教室
姐姐,jiějie,姉
介绍,jièshào,紹介する
进,jìn,入る
近,jìn,近い
觉得,juéde,〜と思う、感じる
咖啡,kāfēi,コーヒー
开始,kāishǐ,始める
考试,kǎoshì,試験
可能,kěnéng,〜かもしれない
可以,kěyǐ,〜してもよい
课,kè,授業、科目
快,kuài,速い、もうすぐ
快乐,kuàilè,楽しい
累,lèi,疲れる
离,lí,〜から（距離）
两,liǎng,二（数量を表す）
零,líng,ゼロ
路,lù,道
旅游,lǚyóu,旅行
卖,mài,売る
慢,màn,遅い
忙,máng,忙しい
每,měi,毎〜
妹妹,mèimei,妹
门,mén,ドア、門
男,nán,男の
您,nín,あなた（丁寧）
牛奶,niúnǎi,牛乳
女,nǚ,女の
旁边,pángbiān,そば、隣
跑步,pǎobù,ジョギングする
便宜,piányi,安い
票,piào,チケット
起床,qǐchuáng,起きる（ベッドから）
千,qiān,千
晴,qíng,晴れ
去年,qùnián,去年
让,ràng,〜させる、譲る
日,rì,日
上班,shàngbān,出勤する
身体,shēntǐ,体
生病,shēngbìng,病気になる
生日,shēngrì,誕生日
时间,shíjiān,時間
事情,shìqing,事、出来事
手表,shǒubiǎo,腕時計
手机,shǒujī,携帯電話
说话,shuōhuà,話す
送,sòng,送る
所以,suǒyǐ,だから
它,tā,それ（人以外）
踢足球,tī zúqiú,サッカーをする
题,tí,問題（試験などの）
跳舞,tiàowǔ,踊る
外,wài,外、外側
晚上,wǎnshang,夜
玩,wán,遊ぶ
完,wán,終わる
往,wǎng,〜へ、〜に向かって
为什么,wèishénme,なぜ
问,wèn,尋ねる、質問する
问题,wèntí,問題、質問
西,xī,西
希望,xīwàng,希望する
洗,xǐ,洗う
小时,xiǎoshí,時間（〜時間）
笑,xiào,笑う
新,xīn,新しい
姓,xìng,姓は〜である
休息,xiūxi,休む
雪,xuě,雪
颜色,yánsè,色
眼睛,yǎnjing,目
羊肉,yángròu,羊肉
药,yào,薬
要,yào,〜したい、〜が必要
也,yě,〜も
一下,yíxià,ちょっと、少し
已经,yǐjīng,すでに
一起,yìqǐ,一緒に
意思,yìsi,意味
游泳,yóuyǒng,泳ぐ
右边,yòubian,右側
鱼,yú,魚
远,yuǎn,遠い
运动,yùndòng,運動
再,zài,また、再び
早上,zǎoshang,朝
丈夫,zhàngfu,夫
找,zhǎo,探す、見つける
着,zhe,〜している（進行）
真,zhēn,本当に
正在,zhèngzài,〜しているところ
知道,zhīdào,知っている
准备,zhǔnbèi,準備する
走,zǒu,歩く
最,zuì,最も
左边,zuǒbian,左側
